Название,Пол,Бренд,Страна,Сегмент,Концентрация,Верхние ноты,Средние ноты,База,Запахи,Семейства,Стойкость минимум,Стойкость максимум,Шлейф,Время года,Возраст
Shalimar,ж,Guerlain,Франция,люкс,духи,Бергамот;Цитрусы;Лимон;Мандарин,Ирис;Пачули;Роза;Ветивер;Жасмин,Бобы;Кожаный аккорд;Ладан;Мускус;Опопанакс;Сандал;Ваниль;Цибетин,,Пряные;Восточные,2,5,средний,зима;осень,любой
3 L'Imperatrice,ж,Dolce&Gabbana,Италия,люкс,туалетная вода,Киви;Ревень;Розовый перец,Арбуз;Цикламен;Жасмин,Мускус;Сандал,,Цветочные;Водные,12,,очень заметный,весна;лето,любой
1001 Nights,ж,Ajmal,ОАЭ,люкс,масляные духи,,,,Цветочные ноты;Древесный аккорд;Мускус;Специи,
